cora(6) | Train Loss 0.3611 | Train Acc 0.9143 | Val Loss 0.8829 | Val Acc 0.7967 | Test Loss 1.1321 | Test Acc 0.7920
cora(6) | Train Loss 0.5949 | Train Acc 0.8071 | Val Loss 1.1213 | Val Acc 0.6700 | Test Loss 1.4192 | Test Acc 0.6190
cora(6) | Train Loss 0.7003 | Train Acc 0.7571 | Val Loss 0.9995 | Val Acc 0.6400 | Test Loss 1.1706 | Test Acc 0.6320
cora(6) | Train Loss 0.4908 | Train Acc 0.8714 | Val Loss 0.8394 | Val Acc 0.7533 | Test Loss 1.1010 | Test Acc 0.7840
cora(6) | Train Loss 0.6511 | Train Acc 0.7857 | Val Loss 1.1186 | Val Acc 0.6900 | Test Loss 1.7144 | Test Acc 0.6280
cora(6) | Train Loss 0.4705 | Train Acc 0.8714 | Val Loss 0.9370 | Val Acc 0.7800 | Test Loss 1.4581 | Test Acc 0.7560
cora(6) | Train Loss 0.4382 | Train Acc 0.9071 | Val Loss 0.8907 | Val Acc 0.8167 | Test Loss 1.1196 | Test Acc 0.7500
cora(6) | Train Loss 0.6187 | Train Acc 0.8000 | Val Loss 0.9597 | Val Acc 0.7300 | Test Loss 1.2926 | Test Acc 0.6550
cora(6) | Train Loss 0.0299 | Train Acc 0.9929 | Val Loss 2.1219 | Val Acc 0.8333 | Test Loss 3.5820 | Test Acc 0.7960
cora(6) | Train Loss 0.1634 | Train Acc 0.9500 | Val Loss 1.2624 | Val Acc 0.8233 | Test Loss 1.7829 | Test Acc 0.7890
cora(6) | Train Loss 0.3176 | Train Acc 0.9071 | Val Loss 0.9230 | Val Acc 0.7867 | Test Loss 1.2355 | Test Acc 0.7940
cora(6) | Train Loss 0.2666 | Train Acc 0.9071 | Val Loss 0.8103 | Val Acc 0.7367 | Test Loss 0.8429 | Test Acc 0.7480
cora(6) | Train Loss 0.4723 | Train Acc 0.8714 | Val Loss 1.0195 | Val Acc 0.7833 | Test Loss 1.3245 | Test Acc 0.7830
cora(10) | Train Loss 0.8523 | Train Acc 0.6429 | Val Loss 1.2765 | Val Acc 0.5567 | Test Loss 2.5796 | Test Acc 0.5460
cora(10) | Train Loss 0.0185 | Train Acc 1.0000 | Val Loss 3.1485 | Val Acc 0.8100 | Test Loss 12.5212 | Test Acc 0.7860
cora(10) | Train Loss 0.2686 | Train Acc 0.9143 | Val Loss 2.2564 | Val Acc 0.7900 | Test Loss 6.1662 | Test Acc 0.7570
cora(10) | Train Loss 0.7190 | Train Acc 0.6786 | Val Loss 1.0833 | Val Acc 0.5933 | Test Loss 1.7390 | Test Acc 0.5450
cora(10) | Train Loss 0.4407 | Train Acc 0.8643 | Val Loss 1.0462 | Val Acc 0.7567 | Test Loss 1.9411 | Test Acc 0.7390
cora(10) | Train Loss 0.8421 | Train Acc 0.6786 | Val Loss 1.3920 | Val Acc 0.5800 | Test Loss 2.2871 | Test Acc 0.5670
cora(10) | Train Loss 0.6707 | Train Acc 0.7929 | Val Loss 1.2482 | Val Acc 0.6300 | Test Loss 1.8266 | Test Acc 0.6080
cora(10) | Train Loss 0.9101 | Train Acc 0.6429 | Val Loss 1.3174 | Val Acc 0.5733 | Test Loss 2.0776 | Test Acc 0.5550
cora(10) | Train Loss 0.5909 | Train Acc 0.8357 | Val Loss 1.3215 | Val Acc 0.7000 | Test Loss 4.1339 | Test Acc 0.6820
cora(10) | Train Loss 1.5432 | Train Acc 0.4429 | Val Loss 1.6136 | Val Acc 0.4367 | Test Loss 4.9265 | Test Acc 0.3620
cora(10) | Train Loss 1.0705 | Train Acc 0.5714 | Val Loss 1.4696 | Val Acc 0.5033 | Test Loss 4.1262 | Test Acc 0.4720
cora(10) | Train Loss 0.8248 | Train Acc 0.6786 | Val Loss 1.1596 | Val Acc 0.5867 | Test Loss 1.9429 | Test Acc 0.5860
cora(10) | Train Loss 0.5287 | Train Acc 0.8714 | Val Loss 1.1240 | Val Acc 0.7333 | Test Loss 2.2092 | Test Acc 0.7120
cora(3) | Train Loss 0.3009 | Train Acc 0.9357 | Val Loss 0.7220 | Val Acc 0.8100 | Test Loss 0.7499 | Test Acc 0.7940
cora(3) | Train Loss 0.3178 | Train Acc 0.9143 | Val Loss 0.7411 | Val Acc 0.8133 | Test Loss 0.8018 | Test Acc 0.8140
cora(3) | Train Loss 0.3978 | Train Acc 0.8929 | Val Loss 0.7316 | Val Acc 0.8200 | Test Loss 0.7990 | Test Acc 0.8020
cora(3) | Train Loss 0.3392 | Train Acc 0.9286 | Val Loss 0.7666 | Val Acc 0.7900 | Test Loss 0.8314 | Test Acc 0.8000
cora(2) | Train Loss 0.1933 | Train Acc 0.9500 | Val Loss 0.6424 | Val Acc 0.8433 | Test Loss 0.6624 | Test Acc 0.8060
cora(2) | Train Loss 0.1920 | Train Acc 0.9500 | Val Loss 0.6280 | Val Acc 0.8300 | Test Loss 0.6609 | Test Acc 0.8090
cora(2) | Train Loss 0.1871 | Train Acc 0.9429 | Val Loss 0.6313 | Val Acc 0.8367 | Test Loss 0.6438 | Test Acc 0.8150
cora(2) | Train Loss 0.2743 | Train Acc 0.9214 | Val Loss 0.6555 | Val Acc 0.8333 | Test Loss 0.7450 | Test Acc 0.8270
cora(2) | Train Loss 0.3920 | Train Acc 0.8857 | Val Loss 0.7441 | Val Acc 0.8167 | Test Loss 0.8801 | Test Acc 0.7920
cora(2) | Train Loss 0.3488 | Train Acc 0.9000 | Val Loss 0.7075 | Val Acc 0.8367 | Test Loss 0.7948 | Test Acc 0.8120
cora(2) | Train Loss 0.2993 | Train Acc 0.9214 | Val Loss 0.6792 | Val Acc 0.8300 | Test Loss 0.7293 | Test Acc 0.8150
cora(2) | Train Loss 0.2575 | Train Acc 0.9143 | Val Loss 0.8735 | Val Acc 0.7200 | Test Loss 1.1622 | Test Acc 0.6190
cora(2) | Train Loss 0.1475 | Train Acc 0.9857 | Val Loss 0.8359 | Val Acc 0.7533 | Test Loss 0.9599 | Test Acc 0.7260
cora(6) | Train Loss 0.9858 | Train Acc 0.5714 | Val Loss 1.1455 | Val Acc 0.5367 | Test Loss 1.3150 | Test Acc 0.4380
cora(4) | Train Loss 0.7552 | Train Acc 0.6857 | Val Loss 1.0809 | Val Acc 0.6033 | Test Loss 1.3300 | Test Acc 0.4750
cora(4) | Train Loss 0.3450 | Train Acc 0.9143 | Val Loss 1.4432 | Val Acc 0.7467 | Test Loss 1.6933 | Test Acc 0.7010
cora(3) | Train Loss 0.7651 | Train Acc 0.7429 | Val Loss 1.0656 | Val Acc 0.6167 | Test Loss 1.2626 | Test Acc 0.5140
