cora(24) | Train Loss 1.1610 | Train Acc 0.9786 | Val Loss 1.5267 | Val Acc 0.7500 | Test Loss 1.5092 | Test Acc 0.7580
cora(24) | Train Loss 0.2645 | Train Acc 0.9929 | Val Loss 0.8079 | Val Acc 0.7940 | Test Loss 0.7689 | Test Acc 0.7960
cora(24) | Train Loss 0.1605 | Train Acc 0.9786 | Val Loss 1.5998 | Val Acc 0.7900 | Test Loss 1.4932 | Test Acc 0.7780
cora(24) | Train Loss 0.7072 | Train Acc 0.9857 | Val Loss 1.2516 | Val Acc 0.7580 | Test Loss 1.2266 | Test Acc 0.7810
cora(24) | Train Loss 0.9575 | Train Acc 0.9714 | Val Loss 1.3336 | Val Acc 0.7800 | Test Loss 1.3101 | Test Acc 0.7730
cora(24) | Train Loss 0.4456 | Train Acc 0.9500 | Val Loss 0.9494 | Val Acc 0.7940 | Test Loss 0.9268 | Test Acc 0.7900
cora(24) | Train Loss 0.4090 | Train Acc 0.9500 | Val Loss 0.9185 | Val Acc 0.7920 | Test Loss 0.8924 | Test Acc 0.7980
cora(24) | Train Loss 0.2409 | Train Acc 0.9786 | Val Loss 0.9894 | Val Acc 0.7880 | Test Loss 0.9096 | Test Acc 0.7860
cora(24) | Train Loss 0.4400 | Train Acc 0.9643 | Val Loss 0.9124 | Val Acc 0.7920 | Test Loss 0.8877 | Test Acc 0.7980
cora(24) | Train Loss 0.4048 | Train Acc 0.9714 | Val Loss 0.8910 | Val Acc 0.7920 | Test Loss 0.8628 | Test Acc 0.8020
cora(24) | Train Loss 0.4254 | Train Acc 0.9214 | Val Loss 1.0661 | Val Acc 0.7900 | Test Loss 1.0495 | Test Acc 0.7890
cora(24) | Train Loss 0.4665 | Train Acc 0.9643 | Val Loss 0.9690 | Val Acc 0.7880 | Test Loss 0.9484 | Test Acc 0.7960
cora(24) | Train Loss 0.3858 | Train Acc 0.9714 | Val Loss 0.8789 | Val Acc 0.7920 | Test Loss 0.8484 | Test Acc 0.7960
cora(24) | Train Loss 0.4857 | Train Acc 0.9714 | Val Loss 0.9162 | Val Acc 0.8000 | Test Loss 0.8871 | Test Acc 0.7960
cora(24) | Train Loss 0.4228 | Train Acc 0.9786 | Val Loss 0.8721 | Val Acc 0.8000 | Test Loss 0.8431 | Test Acc 0.7940
cora(4) | Train Loss 0.6500 | Train Acc 0.9857 | Val Loss 1.1823 | Val Acc 0.7660 | Test Loss 1.1477 | Test Acc 0.7830
cora(2) | Train Loss 0.9255 | Train Acc 0.9929 | Val Loss 1.4147 | Val Acc 0.7540 | Test Loss 1.3837 | Test Acc 0.7660
cora(2) | Train Loss 0.8220 | Train Acc 0.9929 | Val Loss 1.3263 | Val Acc 0.7680 | Test Loss 1.2946 | Test Acc 0.7900
cora(2) | Train Loss 0.5430 | Train Acc 0.9929 | Val Loss 1.2275 | Val Acc 0.7380 | Test Loss 1.1970 | Test Acc 0.7450
cora(2) | Train Loss 0.5836 | Train Acc 0.9929 | Val Loss 1.2544 | Val Acc 0.7380 | Test Loss 1.2245 | Test Acc 0.7420
cora(45) | Train Loss 0.3779 | Train Acc 0.9643 | Val Loss 0.8364 | Val Acc 0.8020 | Test Loss 0.8030 | Test Acc 0.8020
cora(45) | Train Loss 0.4054 | Train Acc 0.9500 | Val Loss 0.8314 | Val Acc 0.8080 | Test Loss 0.8005 | Test Acc 0.7880
cora(45) | Train Loss 0.3981 | Train Acc 0.9571 | Val Loss 0.8268 | Val Acc 0.8080 | Test Loss 0.7964 | Test Acc 0.7940
cora(45) | Train Loss 0.3826 | Train Acc 0.9571 | Val Loss 0.8228 | Val Acc 0.8080 | Test Loss 0.7884 | Test Acc 0.7930
